 Thu, 19 Sep 2019 15:32:42  INFO logger.py <module> [ line:24 ] hehehe
 Thu, 19 Sep 2019 15:32:59  INFO basepage.py get_element [ line:73 ] 查找  登陆页_输入密码 元素 ('id', 'com.lemon.lemonban:id/et_password') 成功！
 Thu, 19 Sep 2019 15:32:59  INFO basepage.py input_text [ line:110 ] 在 登陆页_输入密码 元素 ('id', 'com.lemon.lemonban:id/et_password') 上输入文本值：720553 成功！
 Thu, 19 Sep 2019 15:32:59  INFO basepage.py wait_ele_visible [ line:36 ] 等待 登陆页_点击登陆按钮  元素  ('id', 'com.lemon.lemonban:id/btn_login') 可见成功。耗时：0:00:00.512238
 Thu, 19 Sep 2019 15:32:59  INFO basepage.py get_element [ line:73 ] 查找  登陆页_点击登陆按钮 元素 ('id', 'com.lemon.lemonban:id/btn_login') 成功！
 Thu, 19 Sep 2019 15:32:59  INFO basepage.py click_element [ line:97 ] 点击  登陆页_点击登陆按钮 元素 ('id', 'com.lemon.lemonban:id/btn_login') 成功！
 Thu, 19 Sep 2019 15:33:01  INFO basepage.py wait_ele_exists [ line:51 ] 等待 登陆页面_获取用户登陆状态  元素  ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 存在成功。耗时：0:00:02.417706
 Thu, 19 Sep 2019 15:33:02  INFO basepage.py get_element [ line:73 ] 查找  登陆页面_获取用户登陆状态 元素 ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 成功！
 Thu, 19 Sep 2019 15:33:02  INFO basepage.py get_text [ line:147 ] 获取 登陆页面_获取用户登陆状态 元素 ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 的文本值为:小简
 Thu, 19 Sep 2019 15:33:15  INFO basepage.py wait_ele_visible [ line:36 ] 等待 首页_点击我的柠檬按钮  元素  ('id', 'com.lemon.lemonban:id/navigation_my') 可见成功。耗时：0:00:03.209825
 Thu, 19 Sep 2019 15:33:15  INFO basepage.py get_element [ line:73 ] 查找  首页_点击我的柠檬按钮 元素 ('id', 'com.lemon.lemonban:id/navigation_my') 成功！
 Thu, 19 Sep 2019 15:33:15  INFO basepage.py click_element [ line:97 ] 点击  首页_点击我的柠檬按钮 元素 ('id', 'com.lemon.lemonban:id/navigation_my') 成功！
 Thu, 19 Sep 2019 15:33:15  INFO basepage.py wait_ele_exists [ line:51 ] 等待 登陆页面_获取用户登陆状态  元素  ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 存在成功。耗时：0:00:00.830155
 Thu, 19 Sep 2019 15:33:15  INFO basepage.py get_element [ line:73 ] 查找  登陆页面_获取用户登陆状态 元素 ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 成功！
 Thu, 19 Sep 2019 15:33:15  INFO basepage.py get_text [ line:147 ] 获取 登陆页面_获取用户登陆状态 元素 ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 的文本值为:小简
 Thu, 19 Sep 2019 15:33:16  INFO basepage.py wait_ele_visible [ line:36 ] 等待 首页_点击题库按钮  元素  ('id', 'com.lemon.lemonban:id/navigation_tiku') 可见成功。耗时：0:00:00.042960
 Thu, 19 Sep 2019 15:33:16  INFO basepage.py get_element [ line:73 ] 查找  首页_点击题库按钮 元素 ('id', 'com.lemon.lemonban:id/navigation_tiku') 成功！
 Thu, 19 Sep 2019 15:33:16  INFO basepage.py click_element [ line:97 ] 点击  首页_点击题库按钮 元素 ('id', 'com.lemon.lemonban:id/navigation_tiku') 成功！
 Thu, 19 Sep 2019 15:33:17  INFO basepage.py wait_ele_visible [ line:36 ] 等待 题库列表页面_等待题库列表可见  元素  ('id', 'com.lemon.lemonban:id/fragment_category_type') 可见成功。耗时：0:00:00.938268
 Thu, 19 Sep 2019 15:33:18  INFO basepage.py wait_ele_visible [ line:36 ] 等待 题库列表页面_等待题库列表可见  元素  ('id', 'com.lemon.lemonban:id/fragment_category_type') 可见成功。耗时：0:00:00.030267
 Thu, 19 Sep 2019 15:33:18  INFO basepage.py get_element [ line:73 ] 查找  题库列表页面_获取当前页面所有题库类型 元素 ('id', 'com.lemon.lemonban:id/fragment_category_type') 成功！
 Thu, 19 Sep 2019 15:33:20  INFO basepage.py wait_ele_visible [ line:36 ] 等待 题库列表页面_等待题库列表可见  元素  ('id', 'com.lemon.lemonban:id/fragment_category_type') 可见成功。耗时：0:00:00.027336
 Thu, 19 Sep 2019 15:33:20  INFO basepage.py get_element [ line:73 ] 查找  题库列表页面_获取当前页面所有题库类型 元素 ('id', 'com.lemon.lemonban:id/fragment_category_type') 成功！
 Thu, 19 Sep 2019 15:33:23  INFO basepage.py wait_ele_visible [ line:36 ] 等待 题库列表页面_点击题库类型进入题目难度页面  元素  ('-android uiautomator', 'new UiScrollable(new UiSelector().scrollable(true)).scrollIntoView(new UiSelector().textMatches("Java自动化"))') 可见成功。耗时：0:00:01.938170
 Thu, 19 Sep 2019 15:33:23  INFO basepage.py get_element [ line:73 ] 查找  题库列表页面_点击题库类型进入题目难度页面 元素 ('-android uiautomator', 'new UiScrollable(new UiSelector().scrollable(true)).scrollIntoView(new UiSelector().textMatches("Java自动化"))') 成功！
 Thu, 19 Sep 2019 15:33:24  INFO basepage.py click_element [ line:97 ] 点击  题库列表页面_点击题库类型进入题目难度页面 元素 ('-android uiautomator', 'new UiScrollable(new UiSelector().scrollable(true)).scrollIntoView(new UiSelector().textMatches("Java自动化"))') 成功！
 Thu, 19 Sep 2019 15:33:24  INFO basepage.py wait_ele_visible [ line:36 ] 等待 题目难度页面_等待难度级别出现  元素  ('id', 'com.lemon.lemonban:id/first_level') 可见成功。耗时：0:00:00.070288
 Thu, 19 Sep 2019 15:33:24  INFO basepage.py wait_ele_visible [ line:36 ] 等待 题目难度页面_选择初级难度  元素  ('id', 'com.lemon.lemonban:id/first_level') 可见成功。耗时：0:00:00.044906
 Thu, 19 Sep 2019 15:33:24  INFO basepage.py get_element [ line:73 ] 查找  题目难度页面_选择初级难度 元素 ('id', 'com.lemon.lemonban:id/first_level') 成功！
 Thu, 19 Sep 2019 15:33:24  INFO basepage.py click_element [ line:97 ] 点击  题目难度页面_选择初级难度 元素 ('id', 'com.lemon.lemonban:id/first_level') 成功！
 Thu, 19 Sep 2019 15:33:26  INFO basepage.py wait_ele_visible [ line:36 ] 等待 套题页面_等待套题元素出现  元素  ('id', 'com.lemon.lemonban:id/suit_subject_title') 可见成功。耗时：0:00:01.543595
 Thu, 19 Sep 2019 15:33:26  INFO basepage.py get_element [ line:73 ] 查找  套题页面_获取当前页面所有套题 元素 ('id', 'com.lemon.lemonban:id/suit_subject_title') 成功！
 Thu, 19 Sep 2019 15:33:40  INFO basepage.py wait_ele_visible [ line:36 ] 等待 首页_点击我的柠檬按钮  元素  ('id', 'com.lemon.lemonban:id/navigation_my') 可见成功。耗时：0:00:03.168039
 Thu, 19 Sep 2019 15:33:40  INFO basepage.py get_element [ line:73 ] 查找  首页_点击我的柠檬按钮 元素 ('id', 'com.lemon.lemonban:id/navigation_my') 成功！
 Thu, 19 Sep 2019 15:33:40  INFO basepage.py click_element [ line:97 ] 点击  首页_点击我的柠檬按钮 元素 ('id', 'com.lemon.lemonban:id/navigation_my') 成功！
 Thu, 19 Sep 2019 15:33:41  INFO basepage.py wait_ele_exists [ line:51 ] 等待 登陆页面_获取用户登陆状态  元素  ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 存在成功。耗时：0:00:00.872379
 Thu, 19 Sep 2019 15:33:41  INFO basepage.py get_element [ line:73 ] 查找  登陆页面_获取用户登陆状态 元素 ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 成功！
 Thu, 19 Sep 2019 15:33:41  INFO basepage.py get_text [ line:147 ] 获取 登陆页面_获取用户登陆状态 元素 ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 的文本值为:小简
 Thu, 19 Sep 2019 15:33:54  INFO basepage.py wait_ele_visible [ line:36 ] 等待 首页_点击我的柠檬按钮  元素  ('id', 'com.lemon.lemonban:id/navigation_my') 可见成功。耗时：0:00:03.204576
 Thu, 19 Sep 2019 15:33:54  INFO basepage.py get_element [ line:73 ] 查找  首页_点击我的柠檬按钮 元素 ('id', 'com.lemon.lemonban:id/navigation_my') 成功！
 Thu, 19 Sep 2019 15:33:54  INFO basepage.py click_element [ line:97 ] 点击  首页_点击我的柠檬按钮 元素 ('id', 'com.lemon.lemonban:id/navigation_my') 成功！
 Thu, 19 Sep 2019 15:33:55  INFO basepage.py wait_ele_exists [ line:51 ] 等待 登陆页面_获取用户登陆状态  元素  ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 存在成功。耗时：0:00:00.864560
 Thu, 19 Sep 2019 15:33:55  INFO basepage.py get_element [ line:73 ] 查找  登陆页面_获取用户登陆状态 元素 ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 成功！
 Thu, 19 Sep 2019 15:33:55  INFO basepage.py get_text [ line:147 ] 获取 登陆页面_获取用户登陆状态 元素 ('id', 'com.lemon.lemonban:id/fragment_my_lemon_avatar_title') 的文本值为:小简
